clean_description,genre_list
journey physical spiritual healing brilliant neurosurgeon drawn world mystic arts,"['Action', 'Adventure', 'Fantasy']"
seven gunmen old west gradually come together help poor village savage thieves,"['Action', 'Adventure', 'Western']"
alienated hopefulfilmmaker pat johnsons epic story growing rural illinois falling love becoming first fan movie changed everything,"['Comedy', 'Drama']"
sausage strives discover truth existence,"['Animation', 'Adventure', 'Comedy']"
chronicle childhood adolescence burgeoning adulthood young africanamerican gay man growing rough neighborhood miami,['Drama']
group friends going camping trip celebrate graduating college enter woods proverbial shit starts hit fan,['Horror']
story ray kroc salesman turned two brothers innovative fast food eatery mcdonalds one biggest restaurant businesses world combination ambition persistence ruthlessness,"['Biography', 'Drama', 'History']"
young street artist east los angeles caught fathers obsession lowrider car culture exfelon brother need selfexpression,['Drama']
jack sparrow barbossa embark quest find elusive fountain youth discover blackbeard daughter,"['Action', 'Adventure', 'Fantasy']"
highstakes world political powerbrokers elizabeth sloane sought formidable lobbyist dc taking powerful opponent career finds winning may come high price,"['Drama', 'Thriller']"
young girl finds reform school therapy since blamed death young boy school finds drawn fellow student unaware angel loved thousands years,"['Adventure', 'Drama', 'Fantasy']"
uss enterprise crew explores furthest reaches uncharted space encounter new ruthless enemy puts everything federation stands test,"['Action', 'Adventure', 'Sci-Fi']"
director charlize theron international aid agency africa meets relief aid doctor javier bardem amidst politicalsocial revolution together face tough choices see full summary »,['Drama']
three decades defeat galactic empire new threat arises first order attempts rule galaxy ragtag group heroes stop along help resistance,"['Action', 'Adventure', 'Fantasy']"
vampire death dealer selene kate beckinsale fights end eternal war lycan clan vampire faction betrayed,"['Action', 'Adventure', 'Fantasy']"
three generations come together week leading mothers day,"['Comedy', 'Drama']"
exhitman comes retirement track gangsters took everything,"['Action', 'Crime', 'Thriller']"
menace known joker wreaks havoc chaos people gotham dark knight must come terms one greatest psychological tests ability fight injustice,"['Action', 'Crime', 'Drama']"
th century two portuguese jesuit priests travel japan attempt locate mentor rumored committed apostasy propagate catholicism,"['Adventure', 'Drama', 'History']"
hoping walk away massive fortune trio thieves break house blind man isnt helpless seems,"['Crime', 'Horror', 'Thriller']"
girl small town forms unlikely bond recentlyparalyzed man shes taking care,"['Drama', 'Romance']"
former secretary newly appointed scriptwriter propaganda films joins cast crew major production blitz rages around,"['Comedy', 'Drama', 'Romance']"
story chesley sullenberger american pilot became hero landing damaged plane hudson river order save flights passengers crew,"['Biography', 'Drama']"
fearing actions superman left unchecked batman takes man steel world wrestles kind hero really needs,"['Action', 'Adventure', 'Sci-Fi']"
father son coroners pulled complex mystery attempting identify body young woman apparently harboring dark secrets,"['Horror', 'Mystery', 'Thriller']"
divorcee becomes entangled missing persons investigation promises send shockwaves throughout life,"['Crime', 'Drama', 'Mystery']"
literature student anastasia steeles life changes forever meets handsome yet tormented billionaire christian grey,"['Drama', 'Romance', 'Thriller']"
two stage magicians engage competitive oneupmanship attempt create ultimate stage illusion,"['Drama', 'Mystery', 'Sci-Fi']"
spy organization recruits unrefined promising street kid agencys ultracompetitive training program global threat emerges twisted tech genius,"['Action', 'Adventure', 'Comedy']"
story boston marathon bombing aftermath includes citywide manhunt find terrorists responsible,"['Drama', 'History', 'Thriller']"
woman rebels tyrannical ruler postapocalyptic australia search homeland help group female prisoners psychotic worshipper drifter named max,"['Action', 'Adventure', 'Sci-Fi']"
mans nervous breakdown causes leave wife live attic several months,['Drama']
dramatization april disaster offshore drilling rig deepwater horizon exploded created worst oil spill us history,"['Action', 'Drama', 'Thriller']"
set last days ottoman empire promise follows love triangle michael brilliant medical student beautiful sophisticated ana chris renowned american journalist based paris,"['Drama', 'History']"
canadian intelligence officer north africa encounters female french resistance fighter deadly mission behind enemy lines reunite london relationship tested pressures war,"['Action', 'Drama', 'Romance']"
boy seeks help tree monster cope single mothers terminal illness,"['Drama', 'Fantasy']"
retreating life tragedy man questions universe writing love time death receiving unexpected answers begins see things interlock even loss reveal moments meaning beauty,"['Drama', 'Romance']"
city anthropomorphic animals rookie bunny cop cynical con artist fox must work together uncover conspiracy,"['Animation', 'Adventure', 'Comedy']"
captain barbossa turner elizabeth swann must sail edge map navigate treachery betrayal find jack sparrow make final alliances one last decisive battle,"['Action', 'Adventure', 'Fantasy']"
earths mightiest heroes must come together learn fight team stop mischievous loki alien army enslaving humanity,"['Action', 'Sci-Fi']"
nazioccupied france world war ii plan assassinate nazi leaders group jewish us soldiers coincides theatre owners vengeful plans,"['Adventure', 'Drama', 'War']"
jack sparrow races recover heart davy jones avoid enslaving soul jones service friends foes seek heart agenda well,"['Action', 'Adventure', 'Fantasy']"
following ghost invasion manhattan paranormal enthusiasts erin gilbert abby yates nuclear engineer jillian holtzmann subway worker patty tolan band together stop otherworldly threat,"['Action', 'Comedy', 'Fantasy']"
thief steals corporate secrets use dreamsharing technology given inverse task planting idea mind ceo,"['Action', 'Adventure', 'Sci-Fi']"
forests pacific northwest father devoted raising six kids rigorous physical intellectual education forced leave paradise enter world challenging idea means parent,"['Comedy', 'Drama']"
based true story jordan belfort rise wealthy stockbroker living high life fall involving crime corruption federal government,"['Biography', 'Comedy', 'Crime']"
wifes disappearance become focus intense media circus man sees spotlight turned suspected may innocent,"['Crime', 'Drama', 'Mystery']"
deckard shaw seeks revenge dominic toretto family comatose brother,"['Action', 'Crime', 'Thriller']"
new theme park built original site jurassic park creates genetically modified hybrid dinosaur escapes containment goes killing spree,"['Action', 'Adventure', 'Sci-Fi']"
group bostonbred gangsters set shop balmy florida prohibition era facing competition ku klux klan,"['Crime', 'Drama']"
paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting world feels home,"['Action', 'Adventure', 'Fantasy']"
dead wyoming winter bounty hunter prisoner find shelter cabin currently inhabited collection nefarious characters,"['Crime', 'Drama', 'Mystery']"
math savant uncooks books new client treasury department closes activities body count starts rise,"['Action', 'Crime', 'Drama']"
keller dovers daughter friend go missing takes matters hands police pursue multiple leads pressure mounts,"['Crime', 'Drama', 'Mystery']"
orc horde invades planet azeroth using magic portal human heroes dissenting orcs must attempt stop true evil behind war,"['Action', 'Adventure', 'Fantasy']"
aspiring author civil rights movement decides write book detailing african american maids point view white families work hardships go daily basis,['Drama']
based true story two young men david packouz efraim diveroli million contract pentagon arm americas allies afghanistan,"['Comedy', 'Crime', 'Drama']"
tony stark bruce banner try jumpstart dormant peacekeeping program called ultron things go horribly wrong earths mightiest heroes stop villainous ultron enacting terrible plan,"['Action', 'Adventure', 'Sci-Fi']"
los angeles mismatched pair private eyes investigate missing girl mysterious death porn star,"['Action', 'Comedy', 'Crime']"
two strangers find linked bizarre way connection forms distance thing keep apart,"['Animation', 'Drama', 'Fantasy']"
shortly delivering patient understaffed hospital police officer experiences strange violent occurrences seemingly linked group mysterious hooded figures,"['Horror', 'Mystery', 'Sci-Fi']"
personal shopper paris refuses leave city makes contact twin brother previously died life becomes complicated mysterious person contacts via text message,"['Drama', 'Mystery', 'Thriller']"
undercover cop mole police attempt identify infiltrating irish gang south boston,"['Crime', 'Drama', 'Thriller']"
identical twin gangsters ronald reginald kray terrorize london,"['Biography', 'Crime', 'Drama']"
powerful arrogant god thor cast asgard live amongst humans midgard earth soon becomes one finest defenders,"['Action', 'Adventure', 'Fantasy']"
astronaut becomes stranded mars team assume dead must rely ingenuity find way signal earth alive,"['Adventure', 'Drama', 'Sci-Fi']"
young businessman faces lawyer trying prove innocence assassination lover,"['Crime', 'Mystery', 'Thriller']"
early cia agent napoleon solo kgb operative illya kuryakin participate joint mission mysterious criminal organization working proliferate nuclear weapons,"['Action', 'Adventure', 'Comedy']"
divorced father excon older brother resort desperate scheme order save familys ranch west texas,"['Crime', 'Drama', 'Thriller']"
look life aging insult comic named jack burke,['Comedy']
tarzan acclimated life london called back former home jungle investigate activities mining encampment,"['Action', 'Adventure', 'Drama']"
mother struggles make better life daughter,['Drama']
young programmer selected participate groundbreaking experiment synthetic intelligence evaluating human qualities breathtaking humanoid ai,"['Drama', 'Mystery', 'Sci-Fi']"
twisted social experiment americans locked highrise corporate office bogotá colombia ordered unknown voice coming companys intercom system participate deadly game kill killed,"['Action', 'Horror', 'Thriller']"
antebellum united states solomon northup free black man upstate new york abducted sold slavery,"['Biography', 'Drama', 'History']"
dystopian love story texas wasteland set community cannibals,"['Romance', 'Sci-Fi']"
king leonidas sparta force men fight persians thermopylae bc,"['Action', 'Fantasy', 'War']"
harry ron hermione search voldemorts remaining horcruxes effort destroy dark lord final battle rages hogwarts,"['Adventure', 'Drama', 'Fantasy']"
uptight ceo sister threatens shut branch branch manager throws epic christmas party order land big client save day party gets way hand,['Comedy']
aspiring model jesse moves los angeles youth vitality devoured group beautyobsessed women take means necessary get,"['Horror', 'Thriller']"
former wrestler mahavir singh phogat two wrestler daughters struggle towards glory commonwealth games face societal oppression,"['Action', 'Biography', 'Drama']"
getting car accident woman held shelter two men claim outside world affected widespread chemical attack,"['Drama', 'Horror', 'Mystery']"
friendly forgetful blue tang fish dory begins search longlost parents everyone learns things real meaning family along way,"['Animation', 'Adventure', 'Comedy']"
jacob discovers clues mystery stretches across time finds miss peregrines home peculiar children danger deepens gets know residents learns special powers,"['Adventure', 'Drama', 'Family']"
world divided factions based virtues tris learns shes divergent wont fit discovers plot destroy divergents tris mysterious four must find makes divergents dangerous late,"['Adventure', 'Mystery', 'Sci-Fi']"
two hardpartying brothers place online ad find perfect dates sisters hawaiian wedding hoping wild getaway boys instead find outhustled uncontrollable duo,"['Adventure', 'Comedy', 'Romance']"
fourth installment fighting franchise boyka shooting big leagues accidental death ring makes question everything stands,['Action']
eight years jokers reign anarchy dark knight help enigmatic selina forced imposed exile save gotham city edge total annihilation brutal guerrilla terrorist bane,"['Action', 'Thriller']"
threat tiger shere khan forces flee jungle mancub named mowgli embarks journey self discovery help panther bagheera free spirited bear baloo,"['Adventure', 'Drama', 'Family']"
autobots must escape sight bounty hunter taken control human serendipity unexpectedly optimus prime remaining gang turn mechanic daughter back street racing boyfriend help,"['Action', 'Adventure', 'Sci-Fi']"
high school senior finds immersed online game truth dare every move starts become manipulated anonymous community watchers,"['Adventure', 'Crime', 'Mystery']"
story bridetobe trying find real father told using hit songs popular group abba,"['Comedy', 'Family', 'Musical']"
frontiersman fur trading expedition fights survival mauled bear left dead members hunting team,"['Adventure', 'Drama', 'Thriller']"
workingclass africanamerican father tries raise family coming terms events life,['Drama']
witch tasks childless baker wife procuring magical items classic fairy tales reverse curse put family tree,"['Adventure', 'Comedy', 'Drama']"
mere yards shore surfer nancy attacked great white shark short journey safety becoming ultimate contest wills,"['Drama', 'Horror', 'Thriller']"
promising young drummer enrolls cutthroat music conservatory dreams greatness mentored instructor stop nothing realize students potential,"['Drama', 'Music']"
hobbs dominic brian reassemble crew take team mercenaries dominic unexpectedly gets convoluted also facing presumed deceased girlfriend letty,"['Action', 'Crime', 'Thriller']"
motorcycle stunt rider turns robbing banks way provide lover newborn child decision puts collision course ambitious rookie cop navigating department ruled corrupt detective,"['Crime', 'Drama', 'Thriller']"
violence mayhem ensue hunter stumbles upon drug deal gone wrong two million dollars cash near rio grande,"['Crime', 'Drama', 'Thriller']"
writer wall street trader nick finds drawn past lifestyle millionaire neighbor jay gatsby,"['Drama', 'Romance']"
us marshal investigates disappearance murderess escaped hospital criminally insane,"['Mystery', 'Thriller']"
moment new reverend climbs pulpit liz knows family great danger,"['Mystery', 'Thriller', 'Western']"
brash james kirk tries live fathers legacy mr spock keeping check vengeful romulan future creates black holes destroy federation one planet time,"['Action', 'Adventure', 'Sci-Fi']"
adventures teenager fresh elementary transitions middle school learn consequences responsibility survive year,"['Comedy', 'Family']"
four denizens world highfinance predict credit housing bubble collapse mids decide take big banks greed lack foresight,"['Biography', 'Comedy', 'Drama']"
young boy raised within confines small shed,['Drama']
help german bounty hunter freed slave sets rescue wife brutal mississippi plantation owner,"['Drama', 'Western']"
woman hired handmaiden japanese heiress secretly involved plot defraud,"['Drama', 'Mystery', 'Romance']"
highschool life gets even unbearable nadine best friend krista starts dating older brother,"['Comedy', 'Drama']"
former superheroes exist murder colleague sends active vigilante rorschach sprawling investigation uncovering something could completely change course history know,"['Action', 'Drama', 'Mystery']"
two codependent high school seniors forced deal separation anxiety plan stage boozesoaked party goes awry,['Comedy']
robert langdon wakes italian hospital amnesia teams dr sienna brooks together must race across europe clock foil deadly global plot,"['Action', 'Adventure', 'Crime']"
orphan little girl befriends benevolent giant takes giant country attempt stop maneating giants invading human world,"['Adventure', 'Family', 'Fantasy']"
katniss everdeen voluntarily takes younger sisters place hunger games televised competition two teenagers twelve districts panem chosen random fight death,"['Adventure', 'Sci-Fi', 'Thriller']"
summer new york city college girl falls hard guy met night partying goes wrong goes wild extremes get back,['Drama']
idealistic fbi agent enlisted government task force aid escalating war drugs border area us mexico,"['Action', 'Crime', 'Drama']"
twin peaks twin peaks time always entirely place twin peaks fire walk feature film presents deleted scenes twin peaks fire walk assembled together first time untold portion storys prequel,"['Drama', 'Horror', 'Mystery']"
warring alien predator races descend rural us town unsuspecting residents must band together chance survival,"['Action', 'Horror', 'Sci-Fi']"
war humankind monstrous sea creatures wages former pilot trainee paired drive seemingly obsolete special weapon desperate effort save world apocalypse,"['Action', 'Adventure', 'Sci-Fi']"
middleaged husbands life changes dramatically wife asks divorce seeks rediscover manhood help newfound friend jacob learning pick girls bars,"['Comedy', 'Drama', 'Romance']"
scott pilgrim must defeat new girlfriends seven evil exes order win heart,"['Action', 'Comedy', 'Fantasy']"
exceptional london cop nicholas angel involuntarily transferred quaint english village paired witless new partner beat nicholas suspects sinister conspiracy afoot residents,"['Action', 'Comedy', 'Mystery']"
failed assassination attempt soldier finds stranded desert exposed elements must survive dangers desert battle psychological physical tolls treacherous conditions,"['Thriller', 'War']"
set boston meeting deserted warehouse two gangs turns shootout game survival,"['Action', 'Comedy', 'Crime']"
xmen send wolverine past desperate effort change history prevent event results doom humans mutants,"['Action', 'Adventure', 'Sci-Fi']"
jack reacher must uncover truth behind major government conspiracy order clear name run fugitive law reacher uncovers potential secret past could change life forever,"['Action', 'Adventure', 'Crime']"
armed licence kill secret agent james bond sets first mission must defeat weapons dealer high stakes game poker casino royale things seem,"['Action', 'Adventure', 'Thriller']"
teenage girl risks everything falls love vampire,"['Drama', 'Fantasy', 'Romance']"
four horsemen resurface forcibly recruited tech genius pull impossible heist yet,"['Action', 'Adventure', 'Comedy']"
maria altmann octogenarian jewish refugee takes austrian government recover artwork believes rightfully belongs family,"['Biography', 'Drama', 'History']"
attack us compound libya security team struggles make sense chaos,"['Action', 'Drama', 'History']"
cryptic message bonds past sends trail uncover sinister organization battles political forces keep secret service alive bond peels back layers deceit reveal terrible truth behind spectre,"['Action', 'Adventure', 'Thriller']"
louis bloom con man desperate work muscles world la crime journalism blurs line observer participant become star story,"['Crime', 'Drama', 'Thriller']"
young boy named kubo must locate magical suit armour worn late father order defeat vengeful spirit past,"['Animation', 'Adventure', 'Family']"
two estranged brothers reunite missing fathers video store find vcr board game dubbed beyond gates holds connection fathers disappearance,"['Adventure', 'Horror']"
lonely writer develops unlikely relationship operating system designed meet every need,"['Drama', 'Romance', 'Sci-Fi']"
newly crowned queen elsa accidentally uses power turn things ice curse home infinite winter sister anna teams mountain man playful reindeer snowman change weather condition,"['Animation', 'Adventure', 'Comedy']"
bound shared destiny teen bursting scientific curiosity former boygenius inventor embark mission unearth secrets place somewhere time space exists collective memory,"['Action', 'Adventure', 'Family']"
growing nation genetically evolved apes led caesar threatened band human survivors devastating virus unleashed decade earlier,"['Action', 'Adventure', 'Drama']"
series freak occurrences group actors shooting bigbudget war movie forced become soldiers portraying,"['Action', 'Comedy']"
lorraine ed warren travel north london help single mother raising four children alone house plagued malicious spirit,"['Horror', 'Mystery', 'Thriller']"
armed supersuit astonishing ability shrink scale increase strength cat burglar scott lang must embrace inner hero help mentor dr hank pym plan pull heist save world,"['Action', 'Adventure', 'Comedy']"
bridgets focus single life career interrupted finds pregnant one hitch fifty percent sure identity babys father,"['Comedy', 'Romance']"
family new england torn apart forces witchcraft black magic possession,"['Horror', 'Mystery']"
father unexpectedly passes away young ella finds mercy cruel stepmother scheming stepsisters never one give hope ellas fortunes begin change meeting dashing stranger,"['Drama', 'Family', 'Fantasy']"
marc tom hughes diagnosed disease given one year left live unable accept end decides freeze body sixty years later year see full summary »,['Sci-Fi']
participating production death salesman teachers wife assaulted new home leaves determined find perpetrator wifes traumatized objections,"['Drama', 'Thriller']"
murphy american living paris enters highly sexually emotionally charged relationship unstable electra unaware effect relationship invite pretty neighbor bed,"['Drama', 'Romance']"
yearold billy lynn brought home victory tour harrowing iraq battle flashbacks film shows really happened squad contrasting realities war americas perceptions,"['Drama', 'War']"
aftermath family tragedy aspiring author torn love childhood friend temptation mysterious outsider trying escape ghosts past swept away house breathes bleeds remembers,"['Drama', 'Fantasy', 'Horror']"
mysterious hollywood stuntman mechanic moonlights getaway driver finds trouble helps neighbor,"['Crime', 'Drama']"
thought monogamy never possible commitmentphobic career woman may face fears meets good guy,"['Comedy', 'Drama', 'Romance']"
lighthouse keeper wife living coast western australia raise baby rescue drifting rowing boat,"['Drama', 'Romance']"
unexpected affair quickly escalates heartstopping reality two women whose passionate connection changes lives forever,['Drama']
true story boston globe uncovered massive scandal child molestation coverup within local catholic archdiocese shaking entire catholic church core,"['Crime', 'Drama', 'History']"
corporate riskmanagement consultant must decide whether terminate artificially created humanoid,"['Horror', 'Sci-Fi', 'Thriller']"
youngest son alcoholic former boxer returns home hes trained father competition mixed martial arts tournament path puts fighter collision course estranged older brother,"['Action', 'Drama', 'Sport']"
steve rogers rejected military soldier transforms captain america taking dose supersoldier serum captain america comes price attempts take war monger terrorist organization,"['Action', 'Adventure', 'Sci-Fi']"
help new friends alex danyliuk turns life crime identity theft,"['Crime', 'Drama', 'Thriller']"
graduating emory university top student athlete christopher mccandless abandons possessions gives entire savings account charity hitchhikes alaska live wilderness along way christopher encounters series characters shape life,"['Adventure', 'Biography', 'Drama']"
world war ii mathematician alan turing tries crack enigma code help fellow mathematicians,"['Biography', 'Drama', 'Thriller']"
reconnects awkward pal high school facebook mildmannered accountant lured world international espionage,"['Action', 'Comedy', 'Crime']"
soldier fighting aliens gets relive day day restarting every time dies,"['Action', 'Adventure', 'Sci-Fi']"
ambitious young executive sent retrieve companys ceo idyllic mysterious wellness center remote location swiss alps soon suspects spas treatments seem,"['Drama', 'Fantasy', 'Horror']"
nsas illegal surveillance techniques leaked public one agencys employees edward snowden form thousands classified documents distributed press,"['Biography', 'Drama', 'Thriller']"
held captive afghan cave billionaire engineer tony stark creates unique weaponized suit armor fight evil,"['Action', 'Adventure', 'Sci-Fi']"
earthshattering revelations insurgent tris must escape four beyond wall encircles chicago finally discover shocking truth world around,"['Action', 'Adventure', 'Mystery']"
united states government enlists help mutants superhuman abilities stop malicious dictator determined start world war iii,"['Action', 'Adventure', 'Sci-Fi']"
young vegetarian undergoes carnivorous hazing ritual vet school unbidden taste meat begins grow,"['Drama', 'Horror']"
quiet observation triumphs defeats daily life along poetry evident smallest details,"['Comedy', 'Drama', 'Romance']"
competition maid honor bridesmaid brides best friend threatens upend life outofwork pastry chef,"['Comedy', 'Romance']"
scientist teacher living dystopian future embark journey survival special young girl named melanie,"['Drama', 'Horror', 'Thriller']"
aftermath massive earthquake california rescuechopper pilot makes dangerous journey exwife across state order rescue daughter,"['Action', 'Adventure', 'Drama']"
four college girls hold restaurant order fund spring break vacation partying drinking taking drugs arrested bailed drug arms dealer,['Drama']
ancient struggle two cybertronian races heroic autobots evil decepticons comes earth clue ultimate power held teenager,"['Action', 'Adventure', 'Sci-Fi']"
obsessed vengeance man sets find kidnapped locked solitary confinement twenty years without reason,"['Action', 'Drama', 'Mystery']"
dr jane foster gets cursed powerful entity known aether thor heralded cosmic event known convergence genocidal dark elves,"['Action', 'Adventure', 'Fantasy']"
mortal hero bek teams god horus alliance set merciless god darkness usurped egypts throne plunging peaceful prosperous empire chaos conflict,"['Action', 'Adventure', 'Fantasy']"
steve rogers struggles embrace role modern world teams fellow avenger shield agent black widow battle new threat history assassin known winter soldier,"['Action', 'Adventure', 'Sci-Fi']"
young man working small town junkyard discovers befriends creature feeds oil sought fracking company,"['Action', 'Adventure', 'Comedy']"
determined young woman damaged occultist risk lives souls perform dangerous ritual grant want,"['Drama', 'Horror']"
dave lizewski unnoticed high school student comic book fan one day decides become superhero even though powers training meaningful reason,"['Action', 'Comedy']"
henry resurrected death memory must save wife telekinetic warlord plan bioengineer soldiers,"['Action', 'Adventure', 'Sci-Fi']"
hotshot racecar named lightning mcqueen gets waylaid radiator springs finds true meaning friendship family,"['Animation', 'Adventure', 'Comedy']"
young woman followed unknown supernatural force sexual encounter,"['Horror', 'Mystery']"
journalist mikael blomkvist aided search woman missing forty years lisbeth salander young computer hacker,"['Crime', 'Drama', 'Mystery']"
veteran pot dealer creates fake family part plan move huge shipment weed us mexico,"['Comedy', 'Crime']"
teenage girl nothing lose joins traveling magazine sales crew gets caught whirlwind hard partying law bending young love crisscrosses midwest band misfits,['Drama']
dystopian near future single people according laws city taken hotel obliged find romantic partner fortyfive days transformed beasts sent woods,"['Comedy', 'Drama', 'Romance']"
group elite warriors parachute unfamiliar jungle hunted members merciless alien race,"['Action', 'Adventure', 'Sci-Fi']"
vengeful fairy driven curse infant princess discover child may one person restore peace troubled land,"['Action', 'Adventure', 'Family']"
single mom tries break free mysterious organization abducted,"['Horror', 'Sci-Fi', 'Thriller']"
falangist spain bookish young stepdaughter sadistic army officer escapes eerie captivating fantasy world,"['Drama', 'Fantasy', 'War']"
new york walter stackhouse successful architect married beautiful clara leads seemingly perfect life fascination unsolved murder leads spiral chaos forced play catandmouse clever killer overambitious detective time lusting another woman,"['Crime', 'Drama', 'Thriller']"
mayan kingdom faces decline rulers insist key prosperity build temples offer human sacrifices jaguar paw young man captured sacrifice flees avoid fate,"['Action', 'Adventure', 'Drama']"
ethan team take impossible mission yet eradicating syndicate international rogue organization highly skilled committed destroying imf,"['Action', 'Adventure', 'Thriller']"
eric fellow warrior sara raised members ice queen freyas army try conceal forbidden love fight survive wicked intentions freya sister ravenna,"['Action', 'Adventure', 'Drama']"
introvert freshman taken wings two seniors welcome real world,"['Drama', 'Romance']"
following assassination president john f kennedy first lady jacqueline kennedy fights grief trauma regain faith console children define husbands historic legacy,"['Biography', 'Drama', 'History']"
mother young son release unimaginable horrors attic rural dream home,"['Drama', 'Horror', 'Thriller']"
adventures gustave h legendary concierge famous hotel fictional republic zubrowka first second world wars zero moustafa lobby boy becomes trusted friend,"['Adventure', 'Comedy', 'Drama']"
unseen enemy threatens mankind taking bodies erasing memories melanie risk everything protect people cares proving love conquer dangerous new world,"['Action', 'Adventure', 'Romance']"
grizzled tank commander makes tough decisions crew fight way across germany april,"['Action', 'Drama', 'War']"
young riley uprooted midwest life moved san francisco emotions joy fear anger disgust sadness conflict best navigate new city house school,"['Animation', 'Adventure', 'Comedy']"
radio falls sky hands wideeyed tibetan mastiff leaves home fulfill dream becoming musician setting motion series completely unexpected events,"['Animation', 'Adventure', 'Comedy']"
john connor leader human resistance sends sgt kyle reese back protect sarah connor safeguard future unexpected turn events creates fractured timeline,"['Action', 'Adventure', 'Sci-Fi']"
teenager discovers hes descendant greek god sets adventure settle ongoing battle gods,"['Adventure', 'Family', 'Fantasy']"
thcentury france jean valjean decades hunted ruthless policeman javert breaking parole agrees care factory workers daughter decision changes lives forever,"['Drama', 'Musical', 'Romance']"
chaotic world women become somehow infertile former activist agrees help transport miraculously pregnant woman sanctuary sea,"['Drama', 'Sci-Fi', 'Thriller']"
story teenage boy mother two women help raise among love freedom southern california,"['Comedy', 'Drama']"
